applicant_id,name,mobile,state,district,occupation,years_in_occupation,applicant_type,monthly_income_estimate,income_seasonality,upi_transactions_per_month,upi_avg_ticket_size,upi_merchant_diversity,upi_consistency_score,upi_inflow_outflow_ratio,utility_electric_on_time_pct,utility_water_streak_months,utility_mobile_recharge_amt,bank_avg_monthly_balance,bank_income_credit_regularity,bank_zero_balance_months_past_12,mgnrega_days_worked,mgnrega_wage_regularity,mobile_sim_age_months,mobile_sim_changes_2yr,mobile_data_usage_trend,trade_regular_suppliers,trade_regular_customers,trade_monthly_purchase_value,trade_tenure_years,asset_ownership_status,asset_years_at_address,asset_vehicle,social_shg_member,social_shg_tenure_years,social_mfi_repaid_count,repayment_probability
9de39b9a,Leela Khatri,3339155619,Uttar Pradesh,Kharagpur,Construction Worker,4,Proprietorship,26464.82,Irregular,53,1024.73,15,0.74,1.35,89.93,8,199,10399.15,0.69,1,0,0.4,41,0,0.05,3,53,14941.09,4,Own House,3,Two-Wheeler,1,4,1,1
989146f4,Chandran Kale,05285222155,Tamil Nadu,Shivpuri,Small Trader,2,Proprietorship,41135.43,Seasonal,39,1241.55,11,0.96,0.91,100.0,10,299,6441.18,1.0,1,30,0.67,33,0,0.75,0,10,26329.67,2,Rented,7,None,0,0,0,1
0f5dea27,Jalsa Hora,+912349036865,West Bengal,Phagwara,Farmer,2,Proprietorship,45930.67,Irregular,57,1903.69,17,0.72,1.35,83.63,8,699,7913.89,0.69,0,0,0.69,55,0,0.76,5,33,31662.67,2,Own House,6,None,0,0,0,1
56629aba,Ubika Bahri,+916621232528,Tamil Nadu,Thane,Farmer,6,Partnership,32712.91,Seasonal,26,2293.05,7,0.88,1.29,97.11,9,699,12851.86,0.86,1,50,0.8,42,1,0.42,11,49,21686.29,6,Rented,4,None,1,2,0,1
458cec69,Vansha Ben,09156590218,Tamil Nadu,Ramagundam,Transport Worker,5,Individual,32401.12,Stable,59,1926.52,17,0.85,1.26,100.0,10,299,4019.45,0.87,2,0,0.82,55,0,0.79,11,31,16701.94,5,Own House,7,Two-Wheeler,1,3,0,1
8d3e79b1,Diya Goel,+910840002134,Uttar Pradesh,Eluru,Daily Wage Worker,5,Proprietorship,32319.0,Stable,57,1749.05,17,0.91,1.0,80.3,8,199,4926.49,0.95,2,0,0.32,45,0,0.14,1,44,23772.4,5,Own House,3,None,0,0,0,1
2a91c7f6,Ayushman Ramachandran,03529542248,Tamil Nadu,Haldia,Transport Worker,6,Proprietorship,19212.73,Seasonal,47,2822.02,14,0.76,0.88,80.05,8,699,8173.5,0.84,0,0,0.33,18,1,-0.01,0,65,13851.62,6,Own House,10,Two-Wheeler,1,2,0,1
73d8a46f,Ganga Rout,00793294534,Rajasthan,Kozhikode,Daily Wage Worker,3,Partnership,23174.86,Seasonal,18,1543.49,5,0.87,1.01,99.2,9,299,13674.19,0.91,0,30,0.68,34,0,-0.08,0,55,11032.43,3,Family,4,None,1,3,0,1
682684e6,Udyati Jayaraman,+918282967654,Tamil Nadu,Dharmavaram,Transport Worker,1,Partnership,7901.79,Stable,8,729.26,2,0.61,1.42,68.84,6,299,2507.95,0.53,5,0,0.54,11,3,-0.18,2,10,4995.25,1,Rented,3,None,0,0,0,0
fd24fb97,Warinder Korpal,+914307299722,Uttar Pradesh,Kurnool,Transport Worker,2,Partnership,34974.14,Seasonal,87,1729.48,26,0.66,1.14,100.0,10,199,2534.79,0.64,1,30,0.51,40,0,0.4,1,37,26166.26,2,Own House,3,Two-Wheeler,1,1,0,1
